,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.77732794,0,650,0,0,0,0
Zotu840,0,0,0,0,0,0,0,0,0,0,1109.589041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1540,53.57142857,0,0,0,0,31.05590062,152.5423729,0,258.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.7894737,11.9047619,90,0,0,0,62.85714286
Zotu148,0,0,0,0,0,0,0,0,0,29.85074627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.7125506,0,0,0,0,0,0
Zotu6355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu821,0,187.5,0,0,982.6086957,0,135.5932203,262.6262626,133.3333333,7.462686567,27.39726027,0,76.19047619,0,0,0,0,142.8571429,0,31.25,131.5789474,0,5.747126437,0,0,336.0323887,0,0,0,0,0,34.28571429
Zotu4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3116,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8125,0,0,0,0,27.02702703,0,0,0,0,0,0,0
Zotu363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu829,0,0,0,77.77777778,0,6.211180124,0,10.1010101,8.333333333,7.462686567,0,0,19.04761905,0,0,0,39.47368421,12.98701299,0,62.5,0,0,11.49425287,0,0,0,19.84126984,10,0,0,0,28.57142857
Zotu1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3507109,0,0,0,0,0,0,0,0
